question,fiche,fiche_ok,score_dense_no_lemma,score_sparse_no_lemma,score_dense_lemma,score_sparse_lemma,position_dense_no_lemma,position_sparse_no_lemma,position_dense_lemma,position_sparse_lemma,consistency_dense_no_lemma,consistency_sparse_no_lemma,consistency_dense_lemma,consistency_sparse_lemma,level
2825380_0,F2883,True,0.35315000000002783,33.48166,,,5,5,,,0.8,0.8,,,theme
2825380_0,F32431,False,,34.728848,,,,4,,,,0.8,,,theme
2827357_0,F1028,False,0.19269999999994525,26.553139,,,5,1,,,0.8,0.8,,,theme
2827357_0,F31847,True,,23.12406,,,,5,,,,0.8,,,theme
2832443_0,F1709,False,,18.424984,,,,5,,,,0.4,,,theme
2832443_0,F1091.json,False,0.41380000000003747,19.43616,,,1,2,,,0.8,0.4,,,theme
2832443_0,F868,True,,18.946276,,,,3,,,,0.4,,,theme
2832443_0,F33250,False,0.3943500000000313,18.496914,,,5,4,,,0.8,0.4,,,theme
2832477_0,F34808,False,,12.885492,,,,3,,,,0.6,,,theme
2832477_0,F420,True,,13.054214,,,,2,,,,0.6,,,theme
2832477_0,F2828,True,,11.591502,,,,4,,,,0.6,,,theme
2832477_0,F1704,False,,11.050392,,,,5,,,,0.6,,,theme
2832778_0,F914,True,0.3001000000000431,33.200165,,,5,5,,,0.8,0.8,,,theme
2832778_0,F31473,True,,38.180702,,,,2,,,,0.8,,,theme
2832778_0,F17578,True,,34.640106,,,,4,,,,0.8,,,theme
2832867_0,F1922,False,0.4189999999999827,21.37664,,,5,1,,,0.4,1.0,,,theme
2832867_0,F13605,True,,20.058718,,,,5,,,,1.0,,,theme
2833347_0,F13866,True,0.2980999999999767,14.448559,,,2,2,,,1.0,0.8,,,theme
2833347_0,F20218.json,False,0.2980000000000018,13.120473,,,3,3,,,1.0,0.8,,,theme
2833347_0,F1011,False,,12.784298,,,,4,,,,0.8,,,theme
2833347_0,F33692,False,,11.657836,,,,5,,,,0.8,,,theme
2833505_0,F1359,True,,28.391752,,,,5,,,,1.0,,,theme
2835728_0,F1357,False,,19.586004,,,,1,,,,0.8,,,theme
2835728_0,F21244,False,,16.630333,,,,3,,,,0.8,,,theme
2835728_0,F21246,True,,16.602959,,,,4,,,,0.8,,,theme
2835728_0,F11603,False,,16.235088,,,,5,,,,0.8,,,theme
2837364_0,F11301,True,,32.4832,,,,3,,,,0.8,,,theme
2837364_0,F14485,False,,30.47404,,,,5,,,,0.8,,,theme
2838454_0,F1656,False,,74.69463,,,,1,,,,0.6,,,theme
2838454_0,F18704,False,,44.381657,,,,2,,,,0.6,,,theme
2838454_0,F33805,False,0.30380000000002383,42.01942,,,5,4,,,0.8,0.6,,,theme
